sample_no,drying_treatment,date,cc_treatment,pre_post_wet,median,iqr,day_elapsed
54,four_wk,2022-03-15,w_cc,post_co2,1412.1605469336168,138.51088450069778,0
54,four_wk,2022-03-16,w_cc,post_co2,54082.16496952681,11982.047438892725,1
54,four_wk,2022-03-17,w_cc,post_co2,26572.200395127667,6316.783760915252,2
54,four_wk,2022-03-18,w_cc,post_co2,40110.00072039956,8357.465813991512,3
54,four_wk,2022-03-19,w_cc,post_co2,22689.848911075995,15115.271914395718,4
61,one_wk,2022-02-23,w_cc,post,94606.6823173883,60979.189943762074,1
61,one_wk,2022-02-24,w_cc,post,166704.26165756755,6280.764682440757,2
66,four_wk,2022-03-15,no_cc,post_co2,563.2981340633578,459.9231844801993,0
66,four_wk,2022-03-16,no_cc,post_co2,3328.03220521812,2500.356356438549,1
66,four_wk,2022-03-17,no_cc,post_co2,646.3732796788099,486.283800052926,2
66,four_wk,2022-03-18,no_cc,post_co2,2315.0863240249537,1268.0638373655474,3
66,four_wk,2022-03-19,no_cc,post_co2,1073.7822889768497,275.8331484653547,4
71,four_wk,2022-03-15,w_cc,post_co2,1990.1646847150291,1415.9530330114258,0
71,four_wk,2022-03-16,w_cc,post_co2,44158.15655924058,15041.719384918222,1
71,four_wk,2022-03-17,w_cc,post_co2,18376.444065046635,7083.760839511302,2
71,four_wk,2022-03-18,w_cc,post_co2,24813.957452923067,5780.536004427351,3
71,four_wk,2022-03-19,w_cc,post_co2,15989.816710890525,6258.686297624738,4
72,four_wk,2022-03-15,w_cc,post_co2,1646.9820381520722,260.1083607293833,0
72,four_wk,2022-03-16,w_cc,post_co2,70373.6629836873,20652.63029200553,1
72,four_wk,2022-03-17,w_cc,post_co2,19935.794052194706,10855.676390441964,2
72,four_wk,2022-03-18,w_cc,post_co2,31502.20922374475,2242.145669970072,3
72,four_wk,2022-03-19,w_cc,post_co2,19549.875090948008,2988.0612516789806,4
74,four_wk,2022-03-16,no_cc,post,3627.6399743192756,503.889437693997,1
74,four_wk,2022-03-17,no_cc,post,1555.5673067090302,606.7292043865837,2
85,two_wk,2022-03-02,no_cc,post,4730.3799642406775,589.2476440901373,NA
85,two_wk,2022-03-03,no_cc,post,1996.1438304578403,587.5740855596985,NA
92,one_wk,2022-02-22,w_cc,post_co2,24333.84886320199,3249.3433178131927,0
92,one_wk,2022-02-23,w_cc,post_co2,77514.80521555644,22937.714979512806,1
92,one_wk,2022-02-24,w_cc,post_co2,262948.5465779303,84304.18703607141,2
92,one_wk,2022-02-25,w_cc,post_co2,158000.27881351605,18494.877780145704,3
92,one_wk,2022-02-26,w_cc,post_co2,56292.80578713454,35291.29055112177,4
93,four_wk,2022-03-16,no_cc,post,3859.461434589085,1926.291185097763,1
93,four_wk,2022-03-17,no_cc,post,1366.8981798495838,311.49624059014013,2
94,two_wk,2022-03-02,w_cc,post,71511.38094157647,12367.439907312226,NA
94,two_wk,2022-03-03,w_cc,post,74596.15348286898,9426.702040925622,NA
95,four_wk,2022-03-16,w_cc,post,62084.25311825542,18034.00392166795,1
95,four_wk,2022-03-17,w_cc,post,31904.503127566204,20547.347426050852,2
