sample,date,total_auc
113_01,2022-02-24,4128.080935
113_02,2022-02-24,3074.7422050000005
113_03,2022-02-24,6041.28651
113_04,2022-02-24,3147.0264
113_05,2022-02-24,3108.8699
115_01,2022-02-24,59.495865
115_02,2022-02-24,116.13679499999999
115_03,2022-02-24,118.58504500000001
115_05,2022-02-24,113.82564
033_01,2022-02-25,963.55787
033_02,2022-02-25,1172.527
033_03,2022-02-25,1011.053575
033_04,2022-02-25,1143.1891500000002
033_05,2022-02-25,1010.587
092_01,2022-02-25,3267.74156
092_02,2022-02-25,3775.855985
092_03,2022-02-25,3409.135865
092_04,2022-02-25,3896.60144
092_05,2022-02-25,3649.85434
10000ppm_01,2022-02-25,302.357335
10000ppm_02,2022-02-25,416.85272000000003
10000ppm_03,2022-02-25,429.83725000000004
10000ppm_04,2022-02-25,153.39019
10000ppm_05,2022-02-25,300.161015
10000ppm_06,2022-02-25,450.8435
1000ppm_01,2022-02-25,48.84625
1000ppm_02,2022-02-25,70.9294
1000ppm_03,2022-02-25,36.597449999999995
1000ppm_04,2022-02-25,83.08175
1000ppm_05,2022-02-25,51.38245
100ppm_01,2022-02-25,7.39093
100ppm_02,2022-02-25,7.663565
100ppm_03,2022-02-25,5.85082
100ppm_04,2022-02-25,7.51594
100ppm_05,2022-02-25,3.61648
102_01,2022-02-25,107.7293
102_02,2022-02-25,108.81435
102_03,2022-02-25,111.30185
102_04,2022-02-25,133.8471
102_05,2022-02-25,113.91705
105_01,2022-02-25,96.89314999999999
105_02,2022-02-25,90.616555
105_03,2022-02-25,127.90455
105_04,2022-02-25,112.38457
105_05,2022-02-25,86.4685
113_01,2022-02-25,4775.06693
113_02,2022-02-25,2759.5772249999995
113_03,2022-02-25,2779.0506750000004
113_04,2022-02-25,2480.76337
113_05,2022-02-25,2734.52535
115_01,2022-02-25,127.14565
115_02,2022-02-25,140.07845
115_03,2022-02-25,124.54924999999999
115_04,2022-02-25,125.49315
115_05,2022-02-25,112.08909999999999
033_01,2022-02-26,1101.327235
033_02,2022-02-26,800.5173
033_04,2022-02-26,2005.168875
033_05,2022-02-26,1304.857
033_06,2022-02-26,1750.94082
092_01,2022-02-26,1718.05858
092_02,2022-02-26,2257.1702350000005
092_03,2022-02-26,2461.18094
092_04,2022-02-26,1495.8510749999998
092_05,2022-02-26,1183.713215
092_06,2022-02-26,1028.028
10000ppm_01,2022-02-26,439.42202499999996
10000ppm_02,2022-02-26,478.02096499999993
10000ppm_03,2022-02-26,377.336
10000ppm_04,2022-02-26,171.6075
10000ppm_05,2022-02-26,405.02349
10000ppm_06,2022-02-26,423.33806
1000ppm_01,2022-02-26,73.722545
1000ppm_02,2022-02-26,54.081360000000004
1000ppm_03,2022-02-26,47.93855
1000ppm_04,2022-02-26,43.01565
1000ppm_05,2022-02-26,45.6683
1000ppm_06,2022-02-26,40.34295
100ppm_01,2022-02-26,10.01605
100ppm_02,2022-02-26,7.479945
100ppm_03,2022-02-26,10.486785000000001
100ppm_04,2022-02-26,4.0538
100ppm_05,2022-02-26,4.957295
102_01,2022-02-26,88.7401
102_02,2022-02-26,100.16316499999999
102_03,2022-02-26,128.21450000000002
102_04,2022-02-26,104.0096
102_05,2022-02-26,176.46914999999998
105_01,2022-02-26,152.87626
105_02,2022-02-26,99.8506
105_03,2022-02-26,144.87324999999998
105_04,2022-02-26,109.09859
105_05,2022-02-26,47.13895
105_06,2022-02-26,173.86735
113_01,2022-02-26,1845.71505
113_02,2022-02-26,2584.293475
113_03,2022-02-26,2888.9660449999997
113_04,2022-02-26,2588.048305
113_05,2022-02-26,2340.17245
115_01,2022-02-26,181.26815000000002
115_02,2022-02-26,92.929
115_03,2022-02-26,197.8561
115_04,2022-02-26,100.806
115_05,2022-02-26,200.15384999999998
022_01,2022-03-02,4136.57727
022_02,2022-03-02,3669.614035
022_03,2022-03-02,5290.8660549999995
022_04,2022-03-02,3732.095575
022_05,2022-03-02,4161.848199999999
043_01,2022-03-02,247.66424000000004
043_02,2022-03-02,281.9515
043_03,2022-03-02,247.60051500000003
043_04,2022-03-02,272.21345
043_05,2022-03-02,275.36359999999996
047_01,2022-03-02,4406.423975000001
047_02,2022-03-02,4164.922184999999
047_03,2022-03-02,3932.9056099999993
047_04,2022-03-02,3340.5770949999996
047_05,2022-03-02,3603.81682
085_01,2022-03-02,251.125
085_02,2022-03-02,237.0027
085_03,2022-03-02,265.84000000000003
085_04,2022-03-02,269.07605
085_05,2022-03-02,214.718
094_01,2022-03-02,3416.3875
